path1,path2
106504,22537
38966,36792
140954,53132
48118,7170
39615,102299
64963,105022
27610,113082
54908,39188
82987,15136
147154,104535
136693,99850
4106,87332
129737,38623
41356,61817
102079,100572
134200,72363
127157,133662
61809,146432
44823,73570
101927,147094
13808,55873
138949,83599
114104,19936
96797,68286
84689,26437
119535,75190
42455,3231
74078,15715
10879,77534
147512,99483
95567,42988
131930,57652
50159,95733
17314,73207
49829,27417
140343,124192
33974,110285
26153,22825
53691,61709
28938,95567
55489,50159
60651,42455
101890,33974
11320,119535
27219,74078
85009,44470
145815,114104
28601,13808
15107,96797
124519,60651
139210,15107
35543,101927
48884,124519
24277,28601
97308,101890
113345,27219
44470,84195
83482,54059
72684,73661
137461,55240
81759,141572
22825,1140
60904,83809
145830,67269
110285,141026
61709,147464
124192,62530
3597,71879
119941,30172
57652,116044
127221,20101
27417,54670
55438,142627
107058,12692
8922,59605
27990,71771
139750,139710
82582,71162
119954,72586
75190,61153
61293,48351
77534,114490
42988,59254
76914,524
95733,116240
81606,46903
73025,118428
85458,116026
68286,65432
55873,53691
19936,84689
43344,26153
58048,140343
81859,107058
123331,149113
127937,73025
128254,139750
132244,85458
47318,82582
37400,81606
33860,135117
34361,127221
54241,119941
62300,114660
102362,123473
61504,73498
80093,4818
138368,113500
10110,24519
6379,67779
102295,8281
104864,77207
72497,12649
124291,107133
47393,135817
144701,81209
59113,46084
58549,120298
59605,126010
139710,89918
12692,22479
35078,74178
48151,131513
69233,33640
20128,136363
87292,34353
10395,133655
148492,77360
44366,15331
76607,81797
17611,50598
18308,93638
118668,77934
31478,13136
114887,84844
116044,24140
36391,69307
119076,78895
71879,69964
147464,65997
47984,80012
141026,2735
30172,144169
67269,127136
20101,53741
77530,82249
114490,58023
55240,9704
54059,87659
141572,21718
73661,116833
144240,20104
83809,142400
35276,92385
51106,119958
62530,77945
68241,134022
110206,74242
84195,80985
132845,31528
121213,129496
27235,44157
23898,82054
93718,111469
123888,31899
52813,149728
42573,5329
105490,144461
77970,126737
9431,87036
42901,9493
69375,63857
106617,144018
70407,131883
118936,24148
140681,43130
31985,114051
85901,139521
64493,129633
133142,134967
4567,45538
136744,27912
128010,5137
113640,123440
60432,143132
10579,129591
57007,110120
54981,116420
106368,101795
139350,108473
74802,82713
27782,119191
127094,102784
145584,141342
111735,6379
32598,33675
85648,102295
111771,72497
41424,138368
36560,32624
4317,80093
30453,54241
37918,11210
100291,39520
136955,4237
54255,140645
15215,123331
1867,58048
110061,47318
58338,43344
88379,81859
9646,132244
149272,27990
108591,128254
3213,8922
76364,111021
67665,144901
19311,127937
40453,74695
31057,22347
146095,77032
125183,91356
23203,114887
17636,118668
148030,48151
48946,76607
141439,20128
68482,40044
11876,58549
70736,123150
27893,87292
82403,44366
141137,10395
12889,57336
84941,59113
33543,47393
52762,102362
82628,84601
90199,62300
43736,61504
34205,124291
18394,144701
125079,117232
72937,104864
52823,18344
122149,95186
113259,87607
85904,112584
113743,148492
138188,93193
102578,88191
51943,67803
8228,15165
130419,145192
4031,13005
144179,117892
111197,112629
17573,118597
110072,138979
105664,70975
56761,23086
52585,99673
65115,24782
100069,83666
78374,4859
17819,111407
45795,77910
13951,45425
57260,44254
38953,133960
59622,149288
16992,20234
48574,1276
149828,119813
106749,86966
88637,94600
4201,39337
139217,32658
107532,126966
126342,31045
123473,2400
63375,54443
113500,110928
47268,46706
4818,54775
24519,128729
99483,91962
67779,48627
135817,3327
77207,85901
15715,118936
8281,31985
101311,64493
103070,145584
91697,133142
147094,9431
83599,27782
73570,77970
2627,42901
146432,140681
49382,69375
72363,93718
61817,106617
39188,23898
105022,123888
15136,27235
84844,132845
143132,85009
24140,52813
99850,105490
129591,74802
87332,42573
102784,145815
108473,11320
119191,55489
101795,77507
110120,28938
80012,102844
78895,49829
65997,55438
69307,131930
5137,17314
43815,147512
27912,81759
69964,10879
45538,83482
2735,138949
134967,113345
144169,61809
53741,72684
129633,127157
114051,105664
116420,137461
82713,16992
24148,65115
33675,56761
144018,59622
18344,9224
63857,110072
88191,134200
87607,41356
144461,17573
129496,4106
5329,54981
111469,129737
149728,48884
82054,102079
77945,24277
31899,44823
119958,97308
70975,35543
112629,106368
138979,57007
142400,136744
117892,139210
21718,139350
9704,4567
13005,128010
74242,10579
92385,82987
134022,34024
44157,147154
31528,54908
87036,39615
80985,140954
145192,64963
67803,100291
131883,27610
43130,60432
139521,127094
15165,113640
58023,111735
87659,85648
116833,52823
34739,111771
82249,30453
131790,41424
42114,4317
128682,122149
13136,36560
93638,54255
81797,37918
102299,136955
50598,15215
79114,38966
22537,108591
7170,48118
36792,3213
50170,149272
54675,67665
114942,113743
46084,9646
10916,106504
89918,58338
21039,146095
53132,88379
136363,31057
15331,125183
34353,52762
77360,12889
131513,33543
133655,48946
55110,82403
21424,141439
33640,27893
22479,68482
47953,70736
126010,18394
46519,43736
120298,141137
135856,90199
63696,110061
98478,82628
67003,84941
75557,17636
114146,40453
48738,138188
113082,19311
18346,102578
133662,76364
104535,8228
38623,109743
100572,144179
23389,136693
32624,111197
11210,4031
109186,38953
39520,52585
84601,100069
71162,17819
4237,13951
22347,130419
140645,51943
74695,57260
118428,45795
144901,106749
116026,48574
46903,111454
65432,60904
524,149828
48351,145830
116240,107532
77032,78374
61153,88637
54670,139217
91356,63375
142627,4201
72586,126342
71771,9332
40044,3597
37783,76914
123150,61293
57336,103070
117232,98478
95186,91697
93193,67003
112584,114146
9493,63696
126737,54675
118597,135856
23086,10916
24782,50170
70419,75557
138997,48738
1140,18346
59254,49382
77507,23389
102844,10110
111021,34361
149113,109186
73207,37400
135117,2627
73498,119954
114660,101311
9332,114942
111454,76521
9224,46519
109743,47953
34024,58713
3327,21039
47211,79114
25842,33860
113423,77530
2381,144240
100510,121213
133960,110206
83666,35276
149288,47984
45425,68241
20234,51106
119813,36391
44254,31478
76528,138997
132415,18308
91962,35078
141064,37783
82818,69233
1276,17611
32658,119076
31045,2381
39337,25842
2400,70407
94600,113423
54443,47211
112543,132415
110928,100510
86966,76528
60746,141064
46706,60746
14901,112543
97249,14901
133573,3417
19363,93775
39087,93432
96484,125079
92341,34205
147146,113259
93775,1867
128729,85904
48627,23203
93432,148030
3417,11876
54775,92341
126966,39087
36239,147146
77910,72937
32339,32598
111407,70419
35835,102622
22219,22219
4859,85411
102622,35835
99673,32339
141342,36239
26437,82818
3231,97249
81209,19363
76521,96484
88060,133573
55896,146693
133122,104108
132346,87464
58821,117499
88266,61631
46427,99053
8261,105451
95352,115763
99048,63617
65271,51075
72034,131539
27241,74552
100397,130381
73,62745
123149,115463
109713,23244
36894,4185
90522,101786
30202,46737
24008,40192
76277,115278
70846,82264
105707,95303
30136,42487
143229,35862
12809,95022
131114,62462
4827,111216
18427,55334
8963,135854
58848,30312
14709,139209
47726,50061
101905,124897
120167,15701
102071,120534
114992,82983
32195,139234
93111,134945
97272,114364
140061,34877
140218,126082
38406,79130
14617,46536
95687,129486
127820,125959
14206,5454
518,149131
45478,75311
27665,55650
39590,27820
50826,127088
3340,21791
110789,2765
40280,54686
26444,34579
27576,36537
40894,23682
106285,2819
141177,76970
38314,51872
139526,149058
140962,112613
124181,134652
3145,98526
41444,114714
120805,29372
13501,8365
32189,63249
78756,30779
47739,143137
86880,17138
50873,57075
33984,137187
72120,46900
129013,58973
56770,115695
95898,94314
60018,66929
143696,53319
4499,10246
18804,82673
99742,69436
10314,103828
24715,69238
7902,64408
62695,128895
70801,17606
132246,129970
38942,11477
115000,49415
65845,12133
12949,111002
48999,90479
3199,53004
111383,117217
148270,115328
67923,10314
1100,33390
133764,55447
56641,77681
9334,109415
121091,126217
48265,100261
77942,57341
45725,89939
2752,130599
67020,43397
