path1,path2
106504,22537
38966,7170
140954,53132
48118,102299
39615,93638
64963,50598
27610,105022
54908,113082
82987,39188
147154,104535
136693,99850
4106,87332
129737,38623
41356,61817
102079,100572
134200,72363
127157,133662
61809,146432
44823,73570
44470,147094
83482,55873
138949,83599
114104,19936
96797,68286
84689,26437
119535,119954
42455,61293
74078,3231
10879,77534
147512,99483
95567,42988
131930,57652
50159,127221
17314,73207
49829,27417
140343,124192
33974,110285
26153,22825
53691,61709
28938,95567
55489,50159
60651,42455
101890,33974
11320,119535
27219,138949
85009,74078
145815,114104
28601,13808
15107,96797
124519,60651
139210,15107
35543,101927
48884,124519
24277,28601
97308,101890
101927,27219
13808,73661
113345,55240
72684,54059
81759,144240
16992,141572
111454,1140
60904,83809
145830,47984
110285,51106
61709,147464
124192,141026
3597,30172
127221,67269
135117,116044
73207,20101
149113,54670
55438,142627
107058,12692
8922,40044
27990,59605
139750,139710
82582,71162
119954,72586
75190,61153
61293,77530
42988,48351
77534,114490
76914,59254
95733,524
81606,116240
73025,118428
85458,116026
68286,46903
55873,53691
19936,102844
43344,26153
58048,140343
81859,107058
123331,149113
127937,73025
128254,139750
132244,85458
47318,82582
37400,81606
33860,135117
34361,95733
54241,119941
62300,114660
102362,123473
61504,4818
80093,73498
138368,24519
10110,113500
6379,47268
102295,67779
104864,12649
72497,15715
124291,77207
47393,81209
144701,127559
59113,46084
58549,120298
59605,126010
71771,21039
12692,22479
35078,74178
48151,131513
69233,33640
20128,136363
87292,133655
10395,77360
148492,34353
44366,15331
76607,81797
17611,79114
18308,15136
118668,13136
31478,84844
114887,143132
116044,24140
30172,69307
36391,78895
119076,129591
71879,110120
147464,80012
47984,134967
141026,144169
67269,127136
20101,53741
77530,82249
114490,58023
55240,9704
141572,87659
54059,116833
73661,20104
144240,21718
83809,142400
35276,92385
62530,119958
51106,77945
68241,134022
110206,74242
84195,80985
132845,31528
121213,129496
27235,44157
23898,111469
93718,82054
123888,31899
52813,149728
42573,5329
105490,144461
77970,126737
9431,87036
42901,9493
69375,63857
106617,144018
70407,131883
118936,24148
140681,43130
31985,114051
85901,139521
64493,129633
133142,2735
4567,45538
136744,27912
128010,123440
113640,5137
60432,128682
10579,69964
57007,65997
54981,101795
106368,116420
139350,108473
74802,141342
27782,119191
127094,102784
145584,6379
111735,82713
32598,33675
85648,102295
111771,72497
41424,138368
36560,32624
4317,80093
30453,54241
37918,11210
100291,39520
136955,4237
54255,140645
15215,123331
1867,58048
110061,47318
58338,43344
88379,132244
9646,81859
149272,27990
108591,128254
3213,8922
76364,111021
67665,127937
19311,144901
40453,74695
31057,22347
146095,77032
125183,114887
23203,91356
17636,118668
148030,48151
48946,37783
141439,69233
68482,17611
11876,20128
70736,76607
27893,87292
82403,44366
141137,10395
33543,57336
84941,59113
52762,47393
82628,102362
12889,84601
90199,62300
43736,61504
34205,124291
18394,144701
125079,117232
72937,104864
52823,18344
122149,95186
113259,88191
85904,112584
113743,148492
138188,93193
102578,87607
51943,67803
8228,15165
130419,145192
4031,13005
144179,117892
111197,112629
110072,118597
17573,138979
105664,70975
9224,23086
65115,99673
52585,24782
100069,83666
78374,4859
17819,111407
45795,77910
13951,45425
57260,44254
38953,133960
59622,149288
56761,20234
48574,1276
149828,119813
106749,86966
88637,94600
107532,39337
4201,32658
139217,126966
126342,31045
123473,2400
63375,54443
113500,110928
4818,46706
67779,54775
24519,128729
47268,91962
12649,48627
135817,3327
77207,85901
8281,118936
3231,31985
26437,64493
103070,145584
91697,133142
147094,9431
83599,27782
73570,77970
2627,42901
146432,140681
49382,69375
72363,93718
61817,106617
39188,23898
105022,123888
24140,27235
84844,132845
15136,85009
99850,52813
38623,105490
104535,74802
87332,42573
102784,145815
108473,11320
119191,55489
101795,77507
110120,28938
78895,84689
80012,49829
65997,55438
69307,17314
143132,131930
5137,147512
27912,81759
69964,10879
2735,83482
134967,61809
82249,113345
144169,44470
53741,72684
129633,127157
114051,105664
116420,56761
82713,16992
24148,48574
33675,65115
144018,59622
18344,9224
63857,110072
88191,134200
87607,41356
144461,17573
129496,4106
5329,54981
111469,129737
149728,48884
82054,102079
77945,24277
31899,44823
119958,97308
70975,35543
112629,106368
138979,57007
142400,136744
117892,139350
21718,139210
9704,4567
13005,128010
74242,10579
92385,82987
134022,34024
44157,147154
31528,54908
87036,39615
80985,140954
145192,64963
67803,100291
131883,27610
43130,60432
15165,127094
139521,113640
58023,111735
87659,85648
148831,52823
116833,111771
34739,30453
127136,41424
45538,4317
123440,122149
77934,36560
93638,54255
13136,37918
50598,136955
102299,15215
81797,38966
7170,108591
50170,48118
22537,3213
36792,149272
54675,67665
10916,113743
126010,9646
47953,106504
89918,88379
21039,146095
53132,85904
136363,31057
15331,125183
77360,52762
20850,12889
131513,33543
133655,48946
74178,82403
33640,141439
22479,27893
58713,68482
120298,70736
76521,18394
46084,43736
135856,141137
114942,90199
63696,110061
98478,82628
67003,84941
48738,17636
114146,40453
75557,138188
79114,19311
113082,102578
18346,76364
133662,8228
100572,109743
141342,144179
23389,136693
32624,111197
11210,4031
109186,38953
39520,45795
84601,100069
71162,17819
4237,34523
22347,51943
140645,130419
74695,57260
118428,52585
144901,149828
116026,60904
65432,137461
46903,111454
524,145830
48351,107532
116240,106749
77032,78374
61153,88637
54670,139217
91356,63375
142627,126342
72586,4201
139710,9332
40044,3597
37783,76914
123150,75190
57336,103070
117232,98478
95186,114146
93193,67003
112584,75557
9493,63696
126737,54675
118597,135856
23086,10916
24782,50170
70419,36792
138997,48738
1140,18346
59254,49382
77507,23389
102844,10110
111021,34361
27417,37400
119941,109186
57652,33860
73498,2627
114660,91697
9332,101311
22825,76521
137461,77797
109743,47953
34024,58713
3327,89918
47211,114942
25842,8281
113423,65432
2381,84195
100510,121213
133960,110206
83666,35276
149288,68241
45425,62530
20234,71879
119813,36391
44254,138997
76528,18308
132415,31478
91962,35078
141064,71771
82818,58549
1276,123150
32658,119076
31045,2381
39337,25842
2400,70407
94600,113423
54443,47211
112543,132415
110928,100510
86966,76528
60746,141064
46706,60746
14901,112543
97249,14901
133573,3417
19363,93775
39087,93432
96484,125079
92341,34205
147146,113259
93775,1867
128729,58338
48627,23203
93432,148030
3417,11876
54775,92341
126966,39087
36239,147146
77910,72937
32339,32598
111407,70419
35835,102622
22219,22219
4859,85411
102622,35835
99673,32339
129591,36239
101311,82818
15715,97249
99483,19363
127559,96484
88060,133573
133122,79875
74961,104108
132346,87464
58821,117499
88266,61631
46427,99053
8261,105451
95352,115763
99048,63617
65271,51075
72034,131539
27241,74552
100397,130381
73,62745
123149,115463
109713,23244
36894,4185
16054,101786
30202,46737
24008,40192
76277,115278
70846,82264
