path1,path2
106504,22537
38966,81797
140954,53132
48118,7170
39615,102299
64963,79114
27610,113082
54908,105022
82987,39188
147154,104535
136693,99850
4106,87332
129737,38623
41356,61817
102079,100572
134200,72363
127157,133662
61809,146432
72684,73570
83482,147094
44470,55873
138949,83599
114104,19936
96797,68286
84689,26437
119535,119954
42455,61293
74078,76914
10879,77534
147512,99483
95567,42988
131930,57652
50159,127221
17314,73207
49829,27417
140343,124192
33974,110285
26153,22825
53691,61709
28938,95567
55489,50159
60651,147512
101890,119535
11320,74078
27219,138949
85009,84689
145815,114104
28601,13808
15107,96797
124519,60651
139210,15107
35543,101927
48884,124519
24277,28601
97308,101890
101927,27219
13808,73661
113345,55240
44823,54059
137461,144240
81759,141572
111454,1140
60904,147464
145830,51106
110285,68241
61709,83809
124192,141026
3597,30172
127221,67269
135117,116044
73207,20101
149113,54670
55438,142627
107058,12692
8922,40044
27990,59605
139750,139710
82582,71162
119954,72586
75190,61153
61293,48351
77534,77530
42988,114490
76914,524
95733,59254
73025,116240
81606,118428
85458,46903
68286,65432
55873,116026
19936,102844
43344,26153
58048,140343
81859,107058
123331,149113
127937,73025
128254,139750
132244,85458
47318,82582
37400,81606
33860,135117
34361,3597
54241,119941
62300,114660
102362,123473
61504,4818
80093,73498
138368,67779
10110,24519
6379,113500
102295,47268
104864,12649
72497,77207
124291,15715
47393,8281
144701,81209
59113,127559
59605,76521
58549,47953
139710,22479
12692,74178
35078,55562
48151,131513
69233,33640
20128,136363
87292,34353
10395,133655
148492,77360
44366,15331
76607,93638
17611,50598
18308,15136
118668,13136
31478,123440
114887,5137
116044,69307
30172,24140
36391,78895
119076,65997
71879,69964
147464,80012
47984,2735
141026,144169
67269,127136
1140,53741
114490,82249
59254,58023
55240,9704
141572,87659
54059,34739
73661,85378
144240,116833
83809,21718
35276,92385
51106,119958
62530,77945
68241,134022
110206,74242
84195,80985
132845,31528
121213,129496
27235,44157
23898,82054
93718,111469
123888,31899
52813,149728
42573,5329
105490,144461
77970,126737
9431,87036
42901,9493
69375,63857
106617,144018
70407,24148
118936,131883
140681,43130
31985,114051
85901,139521
64493,129633
133142,134967
4567,45538
136744,128682
128010,27912
113640,143132
60432,84844
10579,129591
57007,110120
54981,116420
106368,101795
139350,108473
74802,141342
27782,102784
127094,119191
145584,82713
111735,6379
32598,33675
85648,102295
111771,72497
41424,138368
36560,32624
4317,80093
30453,54241
37918,11210
100291,39520
136955,4237
54255,140645
15215,123331
1867,58048
110061,47318
58338,43344
88379,81859
9646,132244
149272,27990
108591,128254
3213,8922
76364,111021
67665,144901
19311,127937
40453,74695
31057,22347
146095,77032
125183,71771
23203,91356
17636,114887
148030,48151
48946,17611
141439,69233
68482,37783
11876,20128
70736,76607
27893,87292
82403,44366
141137,10395
33543,57336
84941,59113
52762,47393
82628,102362
12889,84601
90199,62300
43736,61504
34205,124291
18394,144701
125079,117232
72937,104864
52823,18344
122149,95186
113259,88191
85904,93193
113743,148492
138188,112584
102578,87607
51943,67803
8228,15165
130419,145192
4031,13005
144179,117892
111197,138979
17573,118597
110072,112629
105664,70975
16992,23086
65115,99673
52585,24782
100069,83666
78374,4859
17819,111407
45795,77910
13951,45425
57260,44254
38953,133960
59622,149288
56761,20234
48574,1276
149828,119813
