path1,path2
82818,119813
1276,20234
20234,36239
45425,45425
44254,1276
119813,32658
141064,126966
91962,31045
132415,39337
2381,2400
100510,54443
76528,112543
128729,14901
54775,110928
46706,46706
14901,60746
97249,54775
112543,91962
110928,128729
60746,132415
86966,76528
39337,44254
32658,100510
31045,141064
2400,82818
94600,86966
54443,94600
126966,97249
36239,2381
106504,4106
38966,17573
140954,41356
48118,134200
39615,110072
64963,9224
27610,105664
54908,127157
82987,102079
147154,24277
136693,48884
4106,97308
129737,44823
41356,101927
102079,15107
134200,145815
127157,52813
61809,105490
44823,123888
24277,23898
97308,106617
101927,93718
124519,69375
15107,140681
28601,64493
145815,31985
85009,118936
132845,85901
121213,70407
27235,42901
23898,77970
93718,27782
123888,9431
52813,133142
42573,127094
105490,113640
77970,10579
9431,128010
42901,4567
69375,139350
106617,106368
70407,57007
118936,136744
140681,54981
31985,129737
85901,35543
64493,139210
133142,124519
4567,28601
136744,42573
128010,74802
113640,85009
60432,121213
10579,113423
57007,27235
54981,132845
106368,145584
35543,60432
48884,27610
139210,39615
139350,54908
74802,147154
27782,34024
127094,48118
145584,108591
111735,9646
32598,113743
85648,88379
111771,146095
41424,31057
36560,40453
4317,138188
30453,19311
37918,102578
100291,67665
136955,149272
54255,76364
15215,8228
1867,109743
110061,144179
58338,136693
88379,111197
9646,4031
149272,130419
108591,38953
3213,57260
76364,51943
67665,79375
19311,82153
40453,143432
138529,121185
70752,102923
2753,134769
108048,70752
102923,10929
76723,99999
121185,2753
82153,141892
82361,30019
79375,67320
34523,122353
111703,130536
48389,53827
13951,16858
57260,121498
130419,139121
8228,60251
51943,60865
102578,72787
138188,104081
103868,142279
134769,60933
10929,109280
104081,105402
60251,4886
60933,40791
139121,101633
101633,129276
16858,6288
7303,56379
34768,149775
56379,15861
52512,52512
6288,57516
57516,18111
104016,78542
18111,118379
76365,58940
4886,11876
118379,68482
105402,141439
141439,82403
48946,33543
33543,12889
84941,52762
52762,85904
82628,58338
12889,106504
141137,110061
82403,82628
27893,90199
68482,1867
58940,38966
69737,15215
355,136955
78542,64963
40791,140954
129276,3213
143842,82987
133922,100291
15590,54255
78331,37918
86701,4317
109122,41424
53827,30453
121498,111771
142279,52823
30019,85648
99999,111735
141892,36560
81304,122149
118423,34205
38762,18394
122353,141137
108076,43736
27424,113259
45609,72937
51954,93432
135634,125079
117403,70736
65644,27893
139999,48946
60836,148030
71376,84941
56059,17636
135999,125183
71148,121985
73004,138529
142402,103868
42830,82361
17819,34523
45795,71376
38953,111703
59622,142402
9224,48389
56761,42830
65115,73004
52585,135999
100069,67661
4031,134192
144179,19871
111197,136585
110072,71148
17573,123528
105664,17819
109743,100069
34024,45795
113743,13951
31057,56059
